device,ts,day,soilMoisture,soilTemperature,soilEC,illuminance,pm25,pm10,aqi,humidity,temperature,rainfall,windSpeed,radiation,boxTemperature,mass,leafWetness,doorOpen,motion
cacao-01-lote1-twin,2026-09-24 20:35:29.906000+00:00,2026-09-24,33.2,24.77,0.752,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:36:03.193000+00:00,2026-09-24,21.7,21.91,1.012,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:37:17.859000+00:00,2026-09-24,22.1,21.2,0.972,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:08:24.795000+00:00,2026-09-24,28.3,26.84,1.037,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:13:23.427000+00:00,2026-09-24,29.8,26.81,0.731,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 19:53:11.425000+00:00,2026-09-24,41.3,27.49,0.768,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:04:23.368000+00:00,2026-09-24,35.0,24.3,0.711,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:47:15.296000+00:00,2026-09-24,22.0,22.79,1.037,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:48:29.981000+00:00,2026-09-24,22.8,23.52,0.995,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:49:44.692000+00:00,2026-09-24,26.9,24.05,0.65,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:03:26.133000+00:00,2026-09-24,31.1,23.76,0.922,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:04:40.804000+00:00,2026-09-24,24.0,26.5,1.002,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:05:55.470000+00:00,2026-09-24,34.7,27.61,1.061,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:07:10.136000+00:00,2026-09-24,29.1,27.0,0.436,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:05:38.019000+00:00,2026-09-24,28.9,27.13,1.197,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:06:52.687000+00:00,2026-09-24,26.3,24.86,0.787,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:08:07.367000+00:00,2026-09-24,24.2,21.39,1.01,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:09:22.021000+00:00,2026-09-24,22.3,24.96,1.058,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:10:36.685000+00:00,2026-09-24,25.3,25.85,0.349,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:11:51.352000+00:00,2026-09-24,33.7,27.98,0.918,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:13:06.021000+00:00,2026-09-24,40.1,26.15,0.954,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:34:15.250000+00:00,2026-09-24,33.9,22.65,0.863,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:39:47.235000+00:00,2026-09-24,23.3,23.46,0.679,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:41:01.923000+00:00,2026-09-24,27.5,24.48,1.184,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:43:31.246000+00:00,2026-09-24,26.8,22.4,0.945,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:44:45.906000+00:00,2026-09-24,22.8,22.04,0.546,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:46:00.605000+00:00,2026-09-24,22.1,21.97,0.782,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:50:59.377000+00:00,2026-09-24,15.9,24.98,0.587,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:52:14.038000+00:00,2026-09-24,29.4,24.24,1.092,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:53:28.704000+00:00,2026-09-24,20.8,21.96,1.142,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:54:43.367000+00:00,2026-09-24,26.1,22.53,1.135,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:55:58.029000+00:00,2026-09-24,21.1,25.34,0.552,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:57:12.701000+00:00,2026-09-24,27.6,25.54,1.028,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:20:33.978000+00:00,2026-09-24,25.8,23.45,0.789,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:21:48.641000+00:00,2026-09-24,32.3,24.98,0.937,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:23:03.307000+00:00,2026-09-24,39.0,27.17,0.932,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:33:00.592000+00:00,2026-09-24,31.2,22.32,1.326,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:29:16.581000+00:00,2026-09-24,28.7,25.9,1.158,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:30:31.229000+00:00,2026-09-24,29.8,27.28,0.886,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:31:45.895000+00:00,2026-09-24,29.3,22.99,0.65,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:01:54.046000+00:00,2026-09-24,38.8,20.69,1.296,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:03:08.701000+00:00,2026-09-24,40.8,23.92,0.849,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 19:59:24.728000+00:00,2026-09-24,19.5,26.87,0.768,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:00:39.395000+00:00,2026-09-24,28.7,23.85,0.841,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:38:32.570000+00:00,2026-09-24,25.1,20.88,0.86,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:09:39.450000+00:00,2026-09-24,34.9,26.46,1.006,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:25:32.608000+00:00,2026-09-24,30.1,24.84,0.845,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:26:47.265000+00:00,2026-09-24,23.7,23.07,1.196,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:28:01.932000+00:00,2026-09-24,24.7,23.55,0.751,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:02:11.460000+00:00,2026-09-24,24.2,23.87,0.568,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:24:17.947000+00:00,2026-09-24,38.3,28.05,0.449,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:42:16.591000+00:00,2026-09-24,17.5,23.24,1.188,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:58:27.366000+00:00,2026-09-24,27.3,24.63,1.017,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 20:59:42.052000+00:00,2026-09-24,20.4,25.98,1.207,,,,,,,,,,,,,,
cacao-01-lote1-twin,2026-09-24 21:00:56.761000+00:00,2026-09-24,32.5,26.25,0.591,,,,,,,,,,,,,,
